country,type,release_year,total_titles
United States,Movie,2017,284
United States,Movie,2018,246
United States,Movie,2019,217
United States,Movie,2016,210
United States,Movie,2020,177
United States,TV Show,2020,159
United States,TV Show,2019,134
United States,Movie,2015,113
United States,TV Show,2018,110
India,Movie,2017,98
United States,TV Show,2021,89
India,Movie,2018,81
United States,Movie,2014,76
India,Movie,2019,74
India,Movie,2016,72
United States,Movie,2013,71
United States,TV Show,2017,68
India,Movie,2020,59
United States,Movie,2012,59
India,Movie,2015,53
United States,TV Show,2016,53
India,Movie,2013,51
United States,Movie,2021,49
United States,Movie,2010,48
United States,Movie,2011,47
India,Movie,2014,46
United States,Movie,2008,39
United States,Movie,2009,37
India,Movie,2012,36
United Kingdom,Movie,2016,36
United Kingdom,Movie,2017,35
India,Movie,2010,32
United States,TV Show,2015,32
United Kingdom,TV Show,2017,31
Japan,TV Show,2018,30
India,Movie,2011,29
United Kingdom,TV Show,2018,29
United States,Movie,2007,29
Canada,Movie,2018,27
India,Movie,2009,27
United States,Movie,2006,27
United Kingdom,Movie,2018,26
United Kingdom,TV Show,2016,26
India,Movie,2008,25
Spain,Movie,2018,25
United Kingdom,TV Show,2020,25
South Korea,TV Show,2020,24
South Korea,TV Show,2016,23
South Korea,TV Show,2017,23
Canada,Movie,2017,22
India,Movie,2021,22
India,Movie,2005,20
India,Movie,2006,20
United States,Movie,1997,20
United States,Movie,2001,20
Japan,TV Show,2017,19
South Korea,TV Show,2019,19
United Kingdom,Movie,2020,19
United Kingdom,TV Show,2015,19
United Kingdom,TV Show,2019,19
United States,Movie,2003,19
United States,Movie,2005,19
Japan,TV Show,2019,18
Spain,Movie,2017,18
United Kingdom,Movie,2019,18
United States,TV Show,2014,18
South Korea,TV Show,2018,17
United Kingdom,Movie,2015,17
United States,Movie,1998,17
Canada,Movie,2020,16
India,Movie,2007,16
India,TV Show,2020,16
Nigeria,Movie,2018,16
Nigeria,Movie,2019,16
United Kingdom,TV Show,2021,16
United States,Movie,2000,16
Canada,Movie,2016,15
India,Movie,2004,15
United Kingdom,Movie,2014,15
United States,Movie,1996,15
United States,Movie,2002,15
United States,Movie,2004,15
France,Movie,2019,14
Indonesia,Movie,2020,14
Mexico,Movie,2016,14
Spain,Movie,2016,14
United States,Movie,1995,14
United States,Movie,1999,14
United States,TV Show,2013,14
Canada,Movie,2019,13
India,TV Show,2018,13
India,TV Show,2019,13
Indonesia,Movie,2018,13
Japan,TV Show,2020,13
Nigeria,Movie,2016,13
Nigeria,Movie,2017,13
South Korea,TV Show,2021,13
Canada,TV Show,2016,12
China,TV Show,2019,12
France,Movie,2016,12
India,Movie,2003,12
Japan,TV Show,2014,12
Japan,TV Show,2016,12
Nigeria,Movie,2020,12
Philippines,Movie,2019,12
Spain,Movie,2019,12
United States,Movie,1988,12
Brazil,TV Show,2020,11
Canada,Movie,2015,11
Egypt,Movie,2017,11
France,Movie,2017,11
France,TV Show,2018,11
France,TV Show,2019,11
Germany,Movie,2020,11
Mexico,Movie,2018,11
South Korea,Movie,2018,11
South Korea,TV Show,2015,11
Spain,Movie,2020,11
"United Kingdom, United States",Movie,2018,11
United States,Movie,1993,11
United States,TV Show,2012,11
Australia,TV Show,2016,10
Brazil,Movie,2019,10
Canada,TV Show,2020,10
India,Movie,2002,10
Italy,Movie,2020,10
Japan,Movie,2017,10
Japan,Movie,2018,10
Japan,TV Show,2021,10
Mexico,Movie,2017,10
Mexico,Movie,2020,10
Philippines,Movie,2015,10
South Korea,TV Show,2012,10
Spain,Movie,2015,10
Spain,TV Show,2019,10
Spain,TV Show,2020,10
Turkey,Movie,2014,10
Turkey,Movie,2015,10
United Kingdom,TV Show,2013,10
Brazil,Movie,2020,9
Canada,TV Show,2018,9
Egypt,Movie,2012,9
Germany,TV Show,2020,9
India,TV Show,2015,9
India,TV Show,2021,9
Indonesia,Movie,2019,9
Japan,TV Show,2015,9
Mexico,TV Show,2019,9
Philippines,Movie,2016,9
Philippines,Movie,2018,9
Spain,TV Show,2021,9
United Kingdom,TV Show,2014,9
United States,Movie,1991,9
United States,TV Show,2011,9
Argentina,Movie,2018,8
Australia,TV Show,2018,8
Brazil,Movie,2017,8
Brazil,Movie,2018,8
"Canada, United States",Movie,2017,8
Egypt,Movie,2011,8
Egypt,Movie,2018,8
France,Movie,2015,8
France,Movie,2018,8
France,Movie,2020,8
France,TV Show,2020,8
Germany,Movie,2016,8
Indonesia,Movie,2016,8
Japan,TV Show,2008,8
Mexico,TV Show,2020,8
Philippines,Movie,2017,8
South Korea,Movie,2017,8
Spain,TV Show,2018,8
Taiwan,Movie,2020,8
Taiwan,TV Show,2015,8
Taiwan,TV Show,2016,8
United States,Movie,1989,8
United States,Movie,1990,8
United States,Movie,1994,8
Argentina,Movie,2020,7
Australia,TV Show,2019,7
Brazil,TV Show,2019,7
Canada,Movie,2014,7
China,Movie,2017,7
India,Movie,2000,7
India,Movie,2001,7
Indonesia,Movie,2017,7
Japan,Movie,2016,7
Japan,Movie,2019,7
Japan,Movie,2020,7
South Korea,TV Show,2014,7
