director,total_titles
Rajiv Chilaka,19
"Raúl Campos, Jan Suter",18
Suhas Kadav,16
Marcus Raboy,16
Jay Karas,14
Cathy Garcia-Molina,13
Youssef Chahine,12
Martin Scorsese,12
Jay Chapman,12
Steven Spielberg,11
Don Michael Paul,10
David Dhawan,9
Yılmaz Erdoğan,8
Troy Miller,8
Shannon Hartman,8
Ryan Polito,8
Robert Rodriguez,8
Quentin Tarantino,8
Lance Bangs,8
Kunle Afolayan,8
Johnnie To,8
Hakan Algül,8
Fernando Ayllón,8
Toshiya Shinohara,7
S.S. Rajamouli,7
Ron Howard,7
Ram Gopal Varma,7
Prakash Satam,7
Ozan Açıktan,7
Omoni Oboli,7
McG,7
Mae Czarina Cruz,7
Justin G. Dyck,7
Hidenori Inoue,7
Clint Eastwood,7
Wenn V. Deramas,6
Vlad Yudin,6
Steven Soderbergh,6
Sooraj R. Barjatya,6
Sameh Abdulaziz,6
Robert Vince,6
Robert Luketic,6
Rajkumar Santoshi,6
Noah Baumbach,6
Milan Luthria,6
Matt Askem,6
Lasse Hallström,6
Joey So,6
Imtiaz Ali,6
Hanung Bramantyo,6
